,start,end,x_ksm,y_ksm,z_ksm,duration,Range (RS),LocalTime (hr),Latitute (deg)
81,2004-03-07 19:54:00.000,2004-03-07 23:06:00.000,395.1418165347935,-847.3352211642951,-106.10291332563642,11520.0,940.942006935682,7.3486111111111105,-19.790752402015716
82,2004-03-08 19:00:00.000,2004-03-09 04:27:00.000,391.5442227989431,-840.8735048418553,-105.65545669021624,34020.0,933.562105636616,7.346111111111111,-19.790602538399888
83,2004-03-09 10:27:00.000,2004-03-09 16:24:00.000,389.1428089286817,-836.5951215490832,-104.98544963971726,21420.0,928.6255799711116,7.344444444444444,-19.79050147734482
84,2004-03-09 21:57:00.000,2004-03-10 01:03:00.000,387.3578209326762,-833.3853718944583,-104.6740672397752,11160.0,924.9507661913108,7.343055555555555,-19.79042688829624
85,2004-03-10 23:21:00.000,2004-03-11 02:36:00.000,383.4228274024536,-826.2502988293821,-104.30779718310842,11700.0,916.8329932120284,7.3405555555555555,-19.790265603477504
86,2004-03-11 20:39:00.000,2004-03-11 22:42:00.000,380.1309449769213,-820.2901791813673,-103.77023281171014,7380.0,910.0240516647036,7.338333333333333,-19.790138389815663
87,2004-03-11 22:54:00.000,2004-03-12 00:30:00.000,379.7836303993976,-819.6559435529022,-103.7476661936338,5760.0,909.3047068840953,7.338055555555555,-19.79012556934662
88,2004-03-12 17:54:00.000,2004-03-13 00:12:00.000,376.8538987474479,-814.3395772101886,-103.22626152628057,22680.0,903.2294664594998,7.336111111111111,-19.790023808336905
89,2004-03-13 02:51:00.000,2004-03-13 09:36:00.000,375.4757509571596,-811.8503726591197,-102.84952162646115,24300.0,900.3671980044511,7.335,-19.78998057087109
90,2004-03-13 17:06:00.000,2004-03-13 19:51:00.000,373.28395533903694,-807.8299242558796,-102.68472891406856,9900.0,895.8092717699299,7.333611111111111,-19.78991805652496
91,2004-03-14 13:42:00.000,2004-03-14 15:15:00.000,370.1207939924502,-802.0505603085564,-102.15483363839972,5580.0,889.2188220413242,7.331388888888888,-19.7898405005658
92,2004-03-14 16:03:00.000,2004-03-14 18:57:00.000,369.7603476526848,-801.403177564945,-101.99823402184788,10440.0,888.4668859619928,7.3311111111111105,-19.78983270597353
93,2004-03-14 22:45:00.000,2004-03-15 02:36:00.000,368.7331335135127,-799.5211540038397,-101.8339020579851,13860.0,886.3229338444768,7.330555555555556,-19.78981182869685
94,2004-03-15 03:21:00.000,2004-03-15 05:09:00.000,368.02825664159343,-798.2379809351276,-101.64820005310672,6480.0,884.8508509732451,7.33,-19.789798657490948
95,2004-03-15 09:30:00.000,2004-03-15 11:33:00.000,367.0863389234748,-796.5013669900237,-101.56213192367052,7380.0,882.8825938266638,7.329444444444444,-19.78978250018113
96,2004-03-15 11:48:00.000,2004-03-15 12:39:00.000,366.7342151053798,-795.8457255093471,-101.57738310697287,3060.0,882.1464550171466,7.329166666666667,-19.7897768748522
97,2004-03-15 13:06:00.000,2004-03-15 14:39:00.000,366.5352217707613,-795.4895238775781,-101.4730879540414,5580.0,881.730366368566,7.329166666666667,-19.789773793977197
98,2004-03-16 01:21:00.000,2004-03-16 02:54:00.000,364.66126604496606,-792.0650570996609,-101.01509663481508,5580.0,877.8091725312214,7.3277777777777775,-19.7897481949908
99,2004-03-16 07:12:00.000,2004-03-16 12:30:00.000,363.7671025121837,-790.4000460164865,-101.02372398798992,19080.0,875.9363735005957,7.327222222222222,-19.789738164676148
100,2004-03-16 20:15:00.000,2004-03-16 21:48:00.000,361.7741440436282,-786.7268992882746,-100.7092875546341,5580.0,871.758054715874,7.325833333333333,-19.789720967170798
101,2004-03-16 22:03:00.000,2004-03-16 22:33:00.000,361.4994372623359,-786.2380376543682,-100.52572013895808,1800.0,871.1816776109524,7.325555555555555,-19.789719135001377
102,2004-03-17 06:15:00.000,2004-03-17 10:54:00.000,360.2485567484086,-783.9111355227118,-100.46624638597278,16740.0,868.5557884780377,7.324722222222222,-19.78971232867374
103,2004-03-17 15:21:00.000,2004-03-17 22:06:00.000,358.8614578676711,-781.3551511014724,-100.18763686583011,24300.0,865.6413695500431,7.323888888888889,-19.78970757313176
104,2004-03-18 02:18:00.000,2004-03-18 07:21:00.000,357.19385654754467,-778.270553123869,-99.9128353648858,18180.0,862.13402652122,7.322777777777778,-19.789705338929835
105,2004-03-19 00:36:00.000,2004-03-19 05:00:00.000,353.80274947659325,-771.9861104990218,-99.34140067043488,15840.0,854.9898562133757,7.320555555555555,-19.789710229712007
106,2004-03-19 10:39:00.000,2004-03-19 14:03:00.000,352.2766790635552,-769.1548804071244,-99.06284523485049,12240.0,851.7696495955752,7.319444444444445,-19.78971480029148
107,2004-03-20 01:06:00.000,2004-03-20 03:42:00.000,350.08496130572644,-765.1046512554626,-98.4889462579443,9360.0,847.1391149275161,7.317777777777778,-19.789721863082445
108,2004-03-20 05:12:00.000,2004-03-20 13:36:00.000,349.4636329129401,-763.949906768145,-98.36617262097658,30240.0,845.8251561025289,7.3175,-19.789723966255423
109,2004-03-21 11:24:00.000,2004-03-21 13:51:00.000,344.89441732180734,-755.4390331399364,-97.4611316988704,8820.0,836.1453008198847,7.314444444444444,-19.78974051929144
110,2004-03-21 16:39:00.000,2004-03-22 10:27:00.000,344.1014443887056,-753.9192974420016,-97.6075668912208,64080.0,834.4623108327056,7.313888888888889,-19.7897429773074
111,2004-03-22 19:45:00.000,2004-03-23 00:12:00.000,340.0147234750293,-746.3001574896965,-96.58433858924576,16020.0,825.7738623313701,7.311111111111111,-19.789751065725195
112,2004-03-23 02:18:00.000,2004-03-23 03:06:00.000,339.0286412095399,-744.4222995793239,-96.60887052543038,2880.0,823.6736329005288,7.310277777777777,-19.78975172706102
113,2004-03-23 03:36:00.000,2004-03-23 19:57:00.000,338.83300848872443,-744.0686387638215,-96.4664795937423,58860.0,823.2567816414124,7.310277777777777,-19.789751795359223
114,2004-03-23 22:27:00.000,2004-03-24 00:36:00.000,335.9992828389321,-738.7165031412071,-96.1137192433148,7740.0,817.2119903111019,7.308333333333334,-19.789750529410263
115,2004-03-24 00:54:00.000,2004-03-24 04:30:00.000,335.6313821752774,-738.0453025633684,-95.87778463711987,12960.0,816.4262630046042,7.308055555555556,-19.789750121740468
116,2004-03-28 23:51:00.000,2004-03-29 02:21:00.000,317.8830182507533,-704.3366830220284,-92.40981058417788,9000.0,778.254039138176,7.296111111111111,-19.789798492039235
117,2004-03-29 18:42:00.000,2004-03-30 02:09:00.000,315.0904375396091,-698.9582788279995,-92.01723041196816,26820.0,772.1993460653739,7.294166666666666,-19.78984381793313
118,2004-03-30 05:51:00.000,2004-03-30 12:48:00.000,313.4410484397902,-695.7920213205249,-91.65337519802036,25020.0,768.6170496193314,7.293055555555555,-19.789879161876843
119,2004-03-30 16:57:00.000,2004-03-30 19:33:00.000,311.800828638718,-692.6378606333024,-91.29509085176306,9360.0,765.0501658950874,7.291944444444444,-19.789920734358084
120,2004-03-30 19:57:00.000,2004-03-30 20:48:00.000,311.3578279569359,-691.792406923903,-91.14292617891482,3060.0,764.0860320016869,7.291666666666667,-19.78993304796401
121,2004-03-30 22:54:00.000,2004-03-31 00:06:00.000,310.9223355451611,-690.9259913073525,-91.25821339897789,4320.0,763.137920508265,7.291388888888889,-19.7899456106056
122,2004-03-31 07:48:00.000,2004-03-31 10:45:00.000,309.6092234750987,-688.4087269010705,-90.86816572453571,10620.0,760.2772323807599,7.290555555555556,-19.7899863530532
123,2004-03-31 18:24:00.000,2004-03-31 21:42:00.000,308.0467312149776,-685.3897412408523,-90.5518171842814,11880.0,756.8695512476444,7.289444444444444,-19.79004076945602
124,2004-04-02 01:21:00.000,2004-04-02 04:21:00.000,303.4932557426699,-676.5741694459375,-89.5727320265089,10800.0,746.9163523216228,7.286388888888888,-19.790232470150443
125,2004-04-05 13:12:00.000,2004-04-05 19:12:00.000,291.2217633383908,-652.6198069120951,-87.02749881098364,21600.0,719.9281306944449,7.2780555555555555,-19.79091832629771
126,2004-04-05 23:24:00.000,2004-04-06 02:45:00.000,289.73550142493764,-649.6992620518968,-86.72732037199319,12060.0,716.6431608517908,7.277222222222222,-19.79100834412554
127,2004-04-06 23:48:00.000,2004-04-07 00:39:00.000,286.18613671596705,-642.7009176494479,-86.0643117900371,3060.0,708.7834931484687,7.2747222222222225,-19.79122183656485
128,2004-04-07 11:06:00.000,2004-04-07 12:45:00.000,284.5452963865843,-639.4570358142713,-85.76215478430206,5940.0,705.1428745590144,7.273611111111111,-19.79131866765596
129,2004-04-07 22:27:00.000,2004-04-08 00:00:00.000,282.8991189485547,-636.1976196317979,-85.4569430816798,5580.0,701.4857174938772,7.2725,-19.79141409707496
130,2004-04-08 05:18:00.000,2004-04-08 09:51:00.000,281.9065582922341,-634.2588891820155,-85.05592735683541,16380.0,699.2783114705534,7.271944444444444,-19.791471154897085
