,start,end,x_ksm,y_ksm,z_ksm,label,duration,Range,subLST,subLat,south phase,north phase
3980,2015-07-01 06:57:00.000,2015-07-01 17:27:00.000,-9.90270529209371,-30.176601415594696,4.329295798783338,LFE,37800.0,32.05360583789437,4.686944444444444,-0.5145517160868871,3391231.16167413,3388148.310929799
3981,2015-07-01 21:30:00.000,2015-07-02 03:30:00.000,-7.538223389626846,-28.40759289927848,3.25036716374627,LFE,21600.0,29.569934611057462,4.925555555555556,-0.5040419246474372,3391721.3090808387,3388634.7974767047
3982,2015-07-02 05:36:00.000,2015-07-02 14:42:00.000,-6.161129066580976,-27.201469894621752,2.6359450247073,LFE,32760.0,28.014776136467013,5.0777777777777775,-0.4962984053940752,3391994.17464746,3388905.5254711914
3983,2015-07-02 19:57:00.000,2015-07-03 00:51:00.000,-3.621163230749035,-24.603009901890875,1.4853588746166395,LFE,17640.0,24.91239069946262,5.397777777777778,-0.47747777568764,3392477.584632771,3389385.069775543
3984,2015-07-03 06:21:00.000,2015-07-03 10:51:00.000,-1.7110041269058514,-22.26828375698077,0.6278514401453873,LFE,16200.0,22.34274365503474,5.688888888888889,-0.4574255458671587,3392827.93054547,3389732.614079742
3985,2015-07-08 03:48:00.000,2015-07-08 07:12:00.000,-21.81266600835724,-8.362841160012099,9.929473131658002,LFE,12240.0,25.38353693503043,1.2822222222222222,-0.4499421120026242,3396784.4812614806,3393657.5254766853
3986,2015-07-08 14:06:00.000,2015-07-08 18:36:00.000,-23.25847644117416,-10.784721372028166,10.574570175135657,LFE,16200.0,27.732444461781636,1.5252777777777775,-0.4709374056653362,3397131.4584634798,3394001.728008728
3987,2015-07-09 01:03:00.000,2015-07-09 04:33:00.000,-24.5105678133718,-13.226754187614045,11.131008561938144,LFE_sm,12600.0,29.9935711858292,1.7441666666666666,-0.4881911082395189,3397500.3322850238,3394367.6520597837
3988,2015-07-09 12:00:00.000,2015-07-09 14:03:00.000,-25.51767580182129,-15.53603878665832,11.576407269484822,LFE,7380.0,32.039561245066835,1.9336111111111112,-0.5018299308405915,3397868.88665009,3394733.57611084
3989,2015-07-09 22:57:00.000,2015-07-10 01:18:00.000,-26.31595157761681,-17.717406753985493,11.92729365689493,LFE,8460.0,33.8924201481607,2.1008333333333336,-0.5128678784960577,3398237.4109398634,3395099.500161896
3990,2015-07-10 04:27:00.000,2015-07-10 10:33:00.000,-26.646932970537897,-18.76241909475484,12.07795146606026,LFE,21960.0,34.75578108229,2.178333333333333,-0.5176469747572282,3398422.514464406,3395283.2976304623
3991,2015-07-10 11:18:00.000,2015-07-10 13:27:00.000,-26.999413425662077,-20.02844299593932,12.227687732810947,LFE,7740.0,35.771821332755025,2.27,-0.5230088361839035,3398653.0524904295,3395512.209023133
3992,2015-07-10 14:30:00.000,2015-07-10 20:57:00.000,-27.14259469407826,-20.600442215559696,12.2936832259875,LFE_sm,23220.0,36.2247610546232,2.310833333333333,-0.5253136350939885,3398760.749086527,3395619.145732117
3993,2015-07-10 21:09:00.000,2015-07-11 01:18:00.000,-27.39883872075269,-21.76603820707439,12.397312317877168,LFE_sm,14940.0,37.12344454902626,2.393055555555556,-0.5297441056332135,3398984.556075293,3395841.373580475
3994,2015-07-11 13:36:00.000,2015-07-11 21:09:00.000,-27.81184038451899,-24.45795928529665,12.57246615771427,LFE,27180.0,39.112109931095006,2.5805555555555557,-0.5389520310772754,3399538.1838896098,3396391.095100098
3995,2015-07-12 02:03:00.000,2015-07-12 05:12:00.000,-27.935351023170067,-26.333050320663965,12.612025533272526,LFE,11340.0,40.4088673935594,2.7111111111111112,-0.5445858739792938,3399957.1909588035,3396807.14573349
3996,2015-07-12 13:33:00.000,2015-07-13 00:00:00.000,-27.918925569382434,-27.939744920805754,12.592522756108094,LFE,37620.0,41.45681343942763,2.824722222222222,-0.548973656459739,3400344.225601031,3397191.449531403
3997,2015-07-13 23:57:00.000,2015-07-14 04:30:00.000,-27.209512130146432,-32.05250905059233,12.243639328763114,LFE_sm,16380.0,43.790724940467975,3.1366666666666667,-0.5585008500932459,3401501.964009084,3398341.019152984
3998,2015-07-16 15:33:00.000,2015-07-17 08:42:00.000,-23.720404273202437,-36.978884341843305,10.611996510311451,LFE_m,61740.0,45.19634870192996,3.6602777777777775,-0.5660132005977422,3403642.4338565324,3400465.86319278
3999,2015-07-17 08:54:00.000,2015-07-17 14:18:00.000,-22.344973869440047,-37.70450560440125,9.980157890865764,LFE,19440.0,44.9503187043751,3.801111111111111,-0.5661990008745771,3404226.351338501,3401045.4846203
4000,2015-07-17 21:42:00.000,2015-07-18 01:57:00.000,-21.22364495517389,-38.06364922200088,9.457853904805685,LFE_sm,15300.0,44.59524075238808,3.906388888888889,-0.5658274467376067,3404657.1377228927,3401473.1015812373
4001,2015-07-18 11:21:00.000,2015-07-18 23:18:00.000,-19.93114123850004,-38.26995472966438,8.871670724828952,LFE,43020.0,44.051632972335824,4.021111111111111,-0.5649266162518761,3405116.531015624,3401929.1149809877
4002,2015-07-18 23:36:00.000,2015-07-19 17:24:00.000,-18.688215325427613,-38.29716177908384,8.307508450086171,LFE_m,64080.0,43.41585757567298,4.126944444444444,-0.5636379651367442,3405528.8070475617,3402338.3577756346
4003,2015-07-19 20:12:00.000,2015-07-20 06:24:00.000,-16.42527483513208,-37.98790623063907,7.269755693024185,LFE,36720.0,42.020471451825806,4.3133333333333335,-0.560300468638421,3406222.103884942,3403026.553822143
4004,2015-07-22 04:45:00.000,2015-07-22 07:27:00.000,-9.143668399605374,-34.45021334465697,3.9531953829078064,LFE_sm,9720.0,35.86156194353178,4.925277777777778,-0.5399107518616783,3408125.3046691124,3404915.752192536
